epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6055,1.74661,4.00565,1.45946,0.00121,0.15625,0.00272,0.00083,1.76789,4.21324,1.44354,8.335e-05,8.335e-05,8.335e-05
2,23.972,1.60454,3.53966,1.25516,0.00285,0.25,0.00709,0.0035,1.59755,3.83104,1.2512,0.000174293,0.000174293,0.000174293
3,35.3174,1.61335,2.45879,1.23139,0.00492,0.42188,0.10437,0.06001,1.49067,3.57693,1.19857,0.000255334,0.000255334,0.000255334
4,46.6715,1.64861,2.1955,1.22776,0.00654,0.5625,0.14836,0.05331,1.53749,3.48637,1.17786,0.000326474,0.000326474,0.000326474
5,58.1713,1.44787,1.94578,1.18063,0.0062,0.5,0.16476,0.06835,1.49536,3.46976,1.13436,0.000387711,0.000387711,0.000387711
6,69.4388,1.55473,1.78694,1.16255,0.00645,0.46875,0.21829,0.10611,1.50078,3.41734,1.15757,0.000439046,0.000439046,0.000439046
7,80.7033,1.49973,1.78987,1.16452,0.00567,0.42188,0.25773,0.13445,1.51403,3.34782,1.19763,0.000480479,0.000480479,0.000480479
8,92.0281,1.54629,1.8195,1.19208,0.00612,0.45312,0.37514,0.21998,1.56652,3.35564,1.17775,0.000512011,0.000512011,0.000512011
9,103.297,1.5889,1.66965,1.19795,0.81126,0.26718,0.46818,0.26948,1.58565,3.1309,1.17863,0.00053364,0.00053364,0.00053364
10,114.522,1.52415,1.5957,1.13785,0.98729,0.20312,0.51461,0.29679,1.53862,2.92972,1.17238,0.000545367,0.000545367,0.000545367
11,125.555,1.45757,1.62718,1.15985,0.40417,0.26368,0.43875,0.24376,1.47496,2.98313,1.15125,0.000547193,0.000547193,0.000547193
12,136.47,1.41551,1.64783,1.17385,1,0.16329,0.43088,0.20096,1.4996,3.0685,1.17078,0.000539116,0.000539116,0.000539116
13,147.241,1.3984,1.50412,1.12497,1,0.1517,0.45587,0.22764,1.48918,2.9138,1.19059,0.000521138,0.000521138,0.000521138
14,158.123,1.43122,1.45094,1.11942,0.86767,0.1875,0.47384,0.24933,1.5253,2.79352,1.21821,0.000493257,0.000493257,0.000493257
15,169.05,1.44129,1.49653,1.12228,0.87391,0.23438,0.46879,0.24763,1.54386,2.69245,1.25073,0.000455474,0.000455474,0.000455474
16,179.954,1.34798,1.37616,1.10758,0.64024,0.36452,0.47602,0.2585,1.54878,2.4744,1.24272,0.00040779,0.00040779,0.00040779
17,190.899,1.32637,1.31661,1.10015,0.85523,0.4317,0.57265,0.32207,1.52493,2.39187,1.23591,0.000346736,0.000346736,0.000346736
18,201.75,1.32006,1.32208,1.08113,0.79355,0.51562,0.62309,0.36224,1.48663,2.15458,1.21647,0.00026422,0.00026422,0.00026422
19,212.592,1.30797,1.23107,1.09916,0.71468,0.51562,0.67419,0.38896,1.48042,2.03195,1.21441,0.000181703,0.000181703,0.000181703
20,223.534,1.19337,1.24032,1.04396,0.87544,0.56782,0.77729,0.4435,1.47056,1.82533,1.193,9.91865e-05,9.91865e-05,9.91865e-05
